time(s),mls0_(m),mls1_(m),V(m/s),W(rad/s)
1614597176.271467,0.003000000026077032,-0.006000000052154064,-0.4617678322412783,0.04897662584312879
1614597176.321407,0.0020000000949949026,-0.004999999888241291,-0.46588264948436625,0.041009369303814464
1614597176.371499,0.0010000000474974513,-0.004000000189989805,-0.4700105460515585,0.03296066717749749
1614597176.42142,0.0,-0.003000000026077032,-0.4741513427169729,0.02483284744505655
1614597176.471488,-0.0010000000474974513,-0.0020000000949949026,-0.47588012491570786,0.016439989367093996
1614597176.521431,-0.0010000000474974513,-0.0010000000474974513,-0.47586128258766286,0.016335219847379866
1614597176.571473,-0.0010000000474974513,0.0,-0.4817688821293215,-0.0
1614597176.621417,-0.0020000000949949026,0.0010000000474974513,-0.4799752031052461,-0.008149139397001107
1614597176.671495,-0.0010000000474974513,0.0020000000949949026,-0.48310790110422624,-0.016583935660763993
1614597176.721415,0.0,0.003000000026077032,-0.486246955810993,-0.02530652259409407
1614597176.771485,0.0010000000474974513,0.004000000189989805,-0.49189572104760015,-0.034709485624326984
1614597176.821399,0.0020000000949949026,0.004000000189989805,-0.4918151590127133,-0.03448866968442042
1614597176.871489,0.003000000026077032,0.004000000189989805,-0.49170004396508177,-0.0342655219786139
1614597176.921423,0.004000000189989805,0.004000000189989805,-0.49155029111957577,-0.03404007798349903
1614597176.971503,0.004000000189989805,0.003000000026077032,-0.49577707028013235,-0.02563961966707044
1614597177.021407,0.004999999888241291,0.003000000026077032,-0.5007617192402435,-0.026061611702237666
1614597177.071501,0.006000000052154064,0.0020000000949949026,-0.5101524795258602,-0.01784698031148546
1614597177.121452,0.007000000216066837,0.0010000000474974513,-0.5169883168967061,-0.0090603360446504
1614597177.17149,0.007000000216066837,-0.0010000000474974513,-0.526380874523272,-0.0
1614597177.221424,0.00800000037997961,-0.0020000000949949026,-0.5270719869014414,0.009352371471633966
1614597177.2715,0.007000000216066837,-0.003000000026077032,-0.5251583506985075,0.018601624159042568
1614597177.32142,0.007000000216066837,-0.003000000026077032,-0.5205513102323374,0.027432681135567245
1614597177.371432,0.006000000052154064,-0.003000000026077032,-0.5203506067234195,0.027251371475531295
1614597177.421422,0.004999999888241291,-0.004000000189989805,-0.5155283293326058,0.035699256248230615
1614597177.471474,0.004000000189989805,-0.004000000189989805,-0.5152184032785784,0.03545245547265888
1614597177.521385,0.003000000026077032,-0.004999999888241291,-0.5183920594690693,0.04505922431560152
1614597177.571511,0.0020000000949949026,-0.004999999888241291,-0.5262301429408902,0.04631487563182364
1614597177.621385,0.0010000000474974513,-0.004000000189989805,-0.5305789153880994,0.03720474506703946
1614597177.671492,0.0,-0.004000000189989805,-0.5357280130221387,0.0377998196000533
1614597177.721412,-0.0010000000474974513,-0.003000000026077032,-0.5346297374837286,0.02782340772439299
1614597177.771495,-0.0010000000474974513,-0.0020000000949949026,-0.536249770225691,0.01840778892590113
1614597177.821403,-0.0010000000474974513,0.0,-0.5378616597611551,0.009131898952976291
1614597177.871488,-0.0010000000474974513,0.0010000000474974513,-0.5402735954551513,-0.0091728469015377
1614597177.921426,-0.0010000000474974513,0.003000000026077032,-0.5434963887422544,-0.01865648725309077
1614597177.971479,0.0,0.004000000189989805,-0.5495292484822352,-0.028778731851970444
1614597178.021416,0.0010000000474974513,0.004000000189989805,-0.5527739043455704,-0.039001440279659044
1614597178.071424,0.0020000000949949026,0.004999999888241291,-0.5532024072611995,-0.04898775478837541
1614597178.121424,0.003000000026077032,0.004999999888241291,-0.5527830400617608,-0.04864855425147938
1614597178.171483,0.004000000189989805,0.004000000189989805,-0.5523278765356476,-0.04830668511404516
1614597178.221423,0.004999999888241291,0.004000000189989805,-0.5509974590618129,-0.03791223125754419
